volume,volume weighted,open,close,high,low,time
152678.0,358.6453,358.58,358.72,358.82,358.54,2022-10-12 17:00:00
586119.0,357.7832,357.61,357.24,358.37,357.17,2022-10-12 18:00:00
151047.0,357.6114,357.69,357.54,357.755,357.5,2022-10-12 19:00:00
668974.0,356.6619,356.54,356.79,356.98,356.53,2022-10-12 20:00:00
405.0,357.0717,357.1,357.05,357.1,357.05,2022-10-12 21:00:00
9083.0,357.454,357.3,357.48,357.51,357.3,2022-10-12 22:00:00
266.0,357.2354,357.22,357.22,357.22,357.22,2022-10-12 23:00:00
461.0,357.5896,357.6,357.58,357.6,357.58,2022-10-13 00:00:00
8236.0,357.3027,357.35,357.32,357.37,357.23,2022-10-13 08:00:00
1422.0,358.3021,358.26,358.32,358.32,358.26,2022-10-13 10:00:00
10167.0,358.547,358.6,358.5,358.6,358.5,2022-10-13 11:00:00
100141.0,359.8337,358.59,360.25,360.8904,357.6196,2022-10-13 12:00:00
157793.0,349.7155,349.9,349.56,349.93,349.47,2022-10-13 13:00:00
440927.0,351.7426,351.96,351.9089,352.02,351.4,2022-10-13 14:00:00
192774.0,353.5871,353.59,353.47,353.75,353.39,2022-10-13 15:00:00
272807.0,363.0082,362.87,363.13,363.23,362.79,2022-10-13 16:00:00
118458.0,363.0632,362.96,363.08,363.1578,362.9528,2022-10-13 17:00:00
141432.0,365.1668,365.52,365.09,365.52,365.05,2022-10-13 18:00:00
395171.0,366.5774,366.7801,366.2301,366.82,366.23,2022-10-13 19:00:00
624003.0,362.197,365.95,366.06,366.1,365.82,2022-10-13 20:00:00
6373.0,361.0874,365.84,365.75,365.84,365.75,2022-10-13 21:00:00
7908.0,365.9393,365.83,366.01,366.1,365.81,2022-10-13 22:00:00
887.0,365.9864,365.97,366.0,366.0,365.97,2022-10-13 23:00:00
160.0,365.7166,365.72,365.72,365.72,365.72,2022-10-14 00:00:00
2424.0,366.8105,366.81,366.84,366.93,366.81,2022-10-14 08:00:00
1799.0,365.2555,365.25,365.25,365.28,365.25,2022-10-14 10:00:00
7923.0,367.4027,367.6,367.31,367.6,367.29,2022-10-14 11:00:00
523800.0,367.0629,368.125,365.25,368.125,365.05,2022-10-14 12:00:00
40994.0,370.1222,370.14,370.11,370.25,369.92,2022-10-14 13:00:00
1907560.0,364.3988,366.61,364.49,366.62,363.2,2022-10-14 14:00:00
374085.0,362.5203,362.07,363.05,363.1141,362.0195,2022-10-14 15:00:00
292061.0,359.8094,359.72,359.6314,360.19,359.51,2022-10-14 16:00:00
201053.0,359.5768,359.34,359.71,359.89,359.2,2022-10-14 17:00:00
120087.0,359.8552,360.135,359.655,360.15,359.64,2022-10-14 18:00:00
387503.0,358.7136,358.46,358.64,358.88,358.406,2022-10-14 19:00:00
642875.0,360.8958,357.68,357.68,357.86,357.5,2022-10-14 20:00:00
963.0,357.5662,357.48,357.59,357.61,357.46,2022-10-14 21:00:00
310.0,356.966,356.96,356.96,356.96,356.96,2022-10-14 23:00:00
7633.0,361.1404,360.02,361.28,361.46,360.02,2022-10-17 08:00:00
220.0,360.9918,361.01,361.01,361.01,361.01,2022-10-17 09:00:00
2695.0,361.6472,361.64,361.69,361.69,361.63,2022-10-17 10:00:00
32813.0,361.9632,362.19,361.79,362.2,361.79,2022-10-17 11:00:00
92540.0,361.8605,362.08,362.0104,362.4,361.2604,2022-10-17 12:00:00
54141.0,362.9538,362.69,363.0,363.12,362.69,2022-10-17 13:00:00
285617.0,366.1851,365.85,366.24,366.41,365.85,2022-10-17 14:00:00
180449.0,365.5515,365.45,365.62,365.67,365.43,2022-10-17 15:00:00
163290.0,367.0127,366.9,367.12,367.16,366.9,2022-10-17 16:00:00
